#       n           ra          dec       rv      erv        i       vi      feh        r       xx        yy
#
       57  114.5592083   38.8766667  -19.990    0.460   16.054    1.449   -3.452    1.153  -28.434   -8.056
       57  114.5592083   38.8766944  -22.040    2.360   16.054    1.449   -1.798    1.153  -28.434   -8.014
       58  114.5517083   38.8673889  -18.240    2.270   17.702    1.133   -1.865    1.156  -19.520  -22.227
       59  114.5267500   38.8638056  -28.050    2.490   19.735    0.940   -1.616    1.160   10.157  -27.700
       60  114.5127083   38.8901111  -19.780    2.660   19.872    0.940   -1.443    1.171   26.844   12.475
       61  114.5156250   38.8943333  -19.110    4.420   17.557    1.163   -2.202    1.189   23.376   18.922
       62  114.5119583   38.8733611  -23.630    0.400   16.215    1.375   -3.429    1.212   27.742  -13.105
       63  114.5204167   38.8640556  -20.960    1.280   16.937    1.235   -3.272    1.281   17.688  -27.318
       64  114.5621667   38.8768056  -37.390    2.280   17.607    1.122   -1.956    1.285  -31.951   -7.843
       65  114.5140417   38.8683333  -23.200    2.580   19.713    0.944   -1.354    1.290   25.267  -20.783
       66  114.5114167   38.8706667  -23.530    2.280   17.085    1.234   -1.666    1.310   28.387  -17.219
       67  114.5070417   38.8817222  -16.780    2.340   18.806    0.979   -1.915    1.327   33.584   -0.334
       68  114.5080000   38.8876111  -26.520    0.610   15.783    1.492   -3.513    1.327   32.442    8.659
       69  114.5076667   38.8753056  -14.940    2.300   17.318    1.160   -1.950    1.357   32.844  -10.134
       70  114.5137083   38.8658889  -20.900    1.290   17.074    1.233   -3.236    1.399   25.664  -24.516
       71  114.5607917   38.8949722  -24.360    2.300   17.694    1.139   -1.649    1.419  -30.309   19.900
       72  114.5147917   38.8644167  -18.450    0.980   17.090    1.218   -3.236    1.426   24.377  -26.765
       72  114.5147500   38.8644444  -18.870    2.270   17.090    1.218   -1.386    1.426   24.426  -26.723
       73  114.5056250   38.8910278  -22.030    2.370   18.710    1.048   -1.801    1.497   35.263   13.878
       74  114.5032083   38.8828056  -23.900    2.280   17.388    1.200   -1.851    1.507   38.140    1.322
       75  114.5483750   38.8587778  -21.250    2.290   18.378    1.078   -1.713    1.514  -15.559  -35.378
       76  114.5662083   38.8903889  -21.290    2.360   18.980    1.022   -1.781    1.523  -36.749   12.902
       77  114.5684167   38.8836111  -12.570    2.490   19.408    0.974   -1.571    1.543  -39.378    2.552
       78  114.5497083   38.9053889  -22.400    1.260   17.877    1.112   -3.053    1.558  -17.133   35.805
       79  114.5400417   38.8560556  -23.080    2.430   19.256    1.011   -1.690    1.566   -5.649  -39.536
